date,symbol,variety,settle_price,is_single_market,single_market_days,margin_ratio,limit_ratio,trade_fee,fee_type,delivery_fee,close_today_fee,position_limit,trade_limit
20260119,PF605,PF,"6,458.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF606,PF,"6,444.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF607,PF,"6,488.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF608,PF,"6,488.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF609,PF,"6,490.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF610,PF,"6,560.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF611,PF,"6,546.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF612,PF,"6,566.00",N,0,7,±6,2.00,绝对值,0.00,0.00,10000,
20260119,PF701,PF,"6,588.00",N,0,7,±12,2.00,绝对值,0.00,0.00,10000,
20260119,PK603,PK,"7,886.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK604,PK,"7,844.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK605,PK,"7,840.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK610,PK,"8,208.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK611,PK,"8,172.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK612,PK,"8,188.00",N,0,7,±6,4.00,绝对值,0.00,4.00,5000,
20260119,PK701,PK,"8,172.00",N,0,7,±12,4.00,绝对值,0.00,4.00,5000,
20260119,PL602,PL,"5,957.00",N,0,10,±6,1.00,比例值,0.00,1.00,500,
20260119,PL603,PL,"6,068.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL604,PL,"6,100.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL605,PL,"6,082.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL606,PL,"6,078.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL607,PL,"6,157.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL608,PL,"6,127.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL609,PL,"6,123.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL610,PL,"6,086.00",N,0,7,±6,1.00,比例值,0.00,1.00,2000,
20260119,PL611,PL,"6,037.00",N,0,7,±12,1.00,比例值,0.00,1.00,2000,
20260119,PL612,PL,"6,043.00",N,0,7,±12,1.00,比例值,0.00,1.00,2000,
20260119,PL701,PL,"6,043.00",N,0,7,±12,1.00,比例值,0.00,1.00,2000,
20260119,PM603,PM,"3,122.00",N,0,15,±14,30.00,绝对值,0.00,30.00,2000,
20260119,PM605,PM,"3,122.00",N,0,15,±14,30.00,绝对值,0.00,30.00,2000,
