TRADE_DATE,SECURITY_ID,CONTRACT_ID,CONTRACT_SYMBOL,DELTA_VALUE,THETA_VALUE,GAMMA_VALUE,VEGA_VALUE,RHO_VALUE,IMPLC_VOLATLTY
2024-06-26,10007229,510050C2412M02700,50ETF购12月2700,0.211,-0.086,1.172,0.498,0.242,0.143
2024-06-26,10007245,510050C2412M02750,50ETF购12月2750,0.162,-0.072,0.996,0.423,0.187,0.143
2024-06-26,10007438,510050P2407M02250,50ETF沽7月2250,-0.023,-0.035,0.526,0.037,-0.004,0.153
2024-06-26,10007426,510050P2407M02300,50ETF沽7月2300,-0.051,-0.059,1.119,0.07,-0.01,0.138
2024-06-26,10007342,510050P2407M02350,50ETF沽7月2350,-0.128,-0.11,2.382,0.141,-0.024,0.13
2024-06-26,10007343,510050P2407M02400,50ETF沽7月2400,-0.284,-0.166,4.009,0.229,-0.054,0.125
2024-06-26,10007344,510050P2407M02450,50ETF沽7月2450,-0.51,-0.182,4.718,0.27,-0.098,0.125
2024-06-26,10007345,510050P2407M02500,50ETF沽7月2500,-0.732,-0.125,3.961,0.223,-0.142,0.123
2024-06-26,10007346,510050P2407M02550,50ETF沽7月2550,-0.87,-0.057,2.394,0.143,-0.171,0.131
2024-06-26,10007347,510050P2407M02600,50ETF沽7月2600,-0.894,-0.07,1.566,0.123,-0.18,0.172
2024-06-26,10007348,510050P2407M02650,50ETF沽7月2650,-0.909,-0.081,1.143,0.11,-0.186,0.211
2024-06-26,10007349,510050P2407M02700,50ETF沽7月2700,-0.92,-0.09,0.891,0.101,-0.192,0.248
2024-06-26,10007350,510050P2407M02750,50ETF沽7月2750,-0.927,-0.097,0.725,0.094,-0.197,0.283
2024-06-26,10006862,510050P2409M02050,50ETF沽9月2050,-0.017,-0.017,0.2,0.052,-0.011,0.176
2024-06-26,10006738,510050P2409M02100,50ETF沽9月2100,-0.026,-0.023,0.3,0.074,-0.017,0.167
2024-06-26,10006739,510050P2409M02150,50ETF沽9月2150,-0.04,-0.03,0.449,0.105,-0.025,0.157
2024-06-26,10006740,510050P2409M02200,50ETF沽9月2200,-0.062,-0.04,0.675,0.149,-0.039,0.148
2024-06-26,10006741,510050P2409M02250,50ETF沽9月2250,-0.104,-0.056,1.019,0.22,-0.066,0.145
2024-06-26,10006742,510050P2409M02300,50ETF沽9月2300,-0.163,-0.073,1.431,0.3,-0.103,0.141
2024-06-26,10006743,510050P2409M02350,50ETF沽9月2350,-0.248,-0.09,1.848,0.386,-0.158,0.141
2024-06-26,10006744,510050P2409M02400,50ETF沽9月2400,-0.35,-0.099,2.2,0.451,-0.223,0.138
2024-06-26,10006745,510050P2409M02450,50ETF沽9月2450,-0.465,-0.1,2.353,0.484,-0.299,0.139
2024-06-26,10006746,510050P2409M02500,50ETF沽9月2500,-0.581,-0.088,2.313,0.476,-0.376,0.139
2024-06-26,10006820,510050P2409M02550,50ETF沽9月2550,-0.688,-0.068,2.088,0.431,-0.449,0.139
2024-06-26,10006890,510050P2409M02600,50ETF沽9月2600,-0.775,-0.044,1.74,0.366,-0.512,0.141
2024-06-26,10006902,510050P2409M02650,50ETF沽9月2650,-0.815,-0.04,1.368,0.326,-0.548,0.16
2024-06-26,10007024,510050P2409M02700,50ETF沽9月2700,-0.832,-0.047,1.109,0.306,-0.571,0.186
2024-06-26,10007244,510050P2409M02750,50ETF沽9月2750,-0.845,-0.053,0.931,0.291,-0.591,0.21
2024-06-26,10007148,510050P2412M02250,50ETF沽12月2250,-0.16,-0.048,0.979,0.419,-0.205,0.144
2024-06-26,10007149,510050P2412M02300,50ETF沽12月2300,-0.217,-0.056,1.189,0.506,-0.28,0.143
2024-06-26,10007150,510050P2412M02350,50ETF沽12月2350,-0.285,-0.063,1.369,0.585,-0.37,0.144
2024-06-26,10007151,510050P2412M02400,50ETF沽12月2400,-0.358,-0.065,1.518,0.644,-0.468,0.143
2024-06-26,10007152,510050P2412M02450,50ETF沽12月2450,-0.437,-0.064,1.594,0.679,-0.575,0.143
2024-06-26,10007153,510050P2412M02500,50ETF沽12月2500,-0.516,-0.059,1.613,0.687,-0.684,0.143
2024-06-26,10007154,510050P2412M02550,50ETF沽12月2550,-0.591,-0.052,1.545,0.67,-0.791,0.146
2024-06-26,10007155,510050P2412M02600,50ETF沽12月2600,-0.66,-0.042,1.435,0.632,-0.891,0.148
2024-06-26,10007156,510050P2412M02650,50ETF沽12月2650,-0.721,-0.029,1.302,0.579,-0.984,0.15
2024-06-26,10007230,510050P2412M02700,50ETF沽12月2700,-0.754,-0.028,1.115,0.543,-1.047,0.164
2024-06-26,10007246,510050P2412M02750,50ETF沽12月2750,-0.771,-0.032,0.957,0.522,-1.092,0.184
2024-06-26,10007441,510300C2407M03100,300ETF购7月3100,0.987,-0.133,0.173,0.033,0.234,0.203
2024-06-26,10007423,510300C2407M03200,300ETF购7月3200,0.991,-0.115,0.181,0.024,0.242,0.141
2024-06-26,10007351,510300C2407M03300,300ETF购7月3300,0.942,-0.194,0.847,0.113,0.237,0.141
2024-06-26,10007352,510300C2407M03400,300ETF购7月3400,0.799,-0.319,2.126,0.272,0.205,0.136
2024-06-26,10007353,510300C2407M03500,300ETF购7月3500,0.529,-0.384,3.115,0.386,0.138,0.132
2024-06-26,10007354,510300C2407M03600,300ETF购7月3600,0.249,-0.298,2.405,0.308,0.065,0.136
2024-06-26,10007355,510300C2407M03700,300ETF购7月3700,0.089,-0.153,1.172,0.156,0.023,0.141
2024-06-26,10007356,510300C2407M03800,300ETF购7月3800,0.034,-0.078,0.496,0.073,0.009,0.157
2024-06-26,10007357,510300C2407M03900,300ETF购7月3900,0.016,-0.045,0.231,0.038,0.004,0.176
2024-06-26,10007358,510300C2407M04000,300ETF购7月4000,0.008,-0.028,0.118,0.022,0.002,0.196
2024-06-26,10007359,510300C2407M04100,300ETF购7月4100,0.005,-0.022,0.073,0.015,0.001,0.219
2024-06-26,10006833,510300C2409M02900,300ETF购9月2900,1.0,-0.084,0.0,0.0,0.718,0.0
2024-06-26,10006747,510300C2409M02950,300ETF购9月2950,1.0,-0.086,0.0,0.0,0.73,0.0
2024-06-26,10006748,510300C2409M03000,300ETF购9月3000,1.0,-0.087,0.0,0.0,0.743,0.0
2024-06-26,10006749,510300C2409M03100,300ETF购9月3100,1.0,-0.09,0.0,0.0,0.767,0.0
2024-06-26,10006750,510300C2409M03200,300ETF购9月3200,0.937,-0.142,0.547,0.215,0.736,0.129
2024-06-26,10006751,510300C2409M03300,300ETF购9月3300,0.849,-0.188,1.016,0.409,0.681,0.132
2024-06-26,10006752,510300C2409M03400,300ETF购9月3400,0.712,-0.232,1.424,0.596,0.579,0.137
2024-06-26,10006753,510300C2409M03500,300ETF购9月3500,0.554,-0.247,1.616,0.691,0.456,0.14
2024-06-26,10006754,510300C2409M03600,300ETF购9月3600,0.394,-0.227,1.573,0.672,0.328,0.14
2024-06-26,10006755,510300C2409M03700,300ETF购9月3700,0.258,-0.186,1.304,0.564,0.215,0.142
2024-06-26,10006897,510300C2409M03800,300ETF购9月3800,0.159,-0.139,0.953,0.423,0.133,0.145
2024-06-26,10006909,510300C2409M03900,300ETF购9月3900,0.091,-0.094,0.634,0.286,0.077,0.148
2024-06-26,10007031,510300C2409M04000,300ETF购9月4000,0.056,-0.068,0.416,0.198,0.048,0.156
2024-06-26,10007251,510300C2409M04100,300ETF购9月4100,0.034,-0.047,0.268,0.133,0.029,0.163
2024-06-26,10007157,510300C2412M03100,300ETF购12月3100,0.986,-0.096,0.167,0.091,1.498,0.089
