产品名称,合约代码,产品代码,产品类型,交易所MIC编码,交易场所,交易时间节假日除外,交易国家ISO编码,交易币种ISO编码,结算币种ISO编码,到期时间待国家公布2025年节假日安排后进行调整,结算方式,挂牌频率,最小变动价位,最小变动价值,交易单位,计量单位,最大下单量,日持仓限额期货公司会员不限仓,大宗交易最小规模,是否受CESR监管,是否为灵活合约,上市周期该产品的所有合约月份,交割通知日,第一交易日,最后交易日待国家公布2025年节假日安排后进行调整,交割结算日,月份代码,年份代码,最后交割日,车（船）板最后交割日,合约交割月份本合约交割月份,交易保证金率,涨跌停板,费用币种ISO编码,交易手续费,手续费收取方式,交割手续费,平今仓手续费,交易限额
干制红枣期货,CJ403,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户40手,n.a.,否,否,"1,3,5,7,9,12",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,15.00%,±12%,CNY,10.0,绝对值,0.0,10.0,100.0
干制红枣期货,CJ405,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户600手,n.a.,否,否,"1,3,5,7,9,12",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,15.00%,±12%,CNY,10.0,绝对值,0.0,10.0,100.0
干制红枣期货,CJ407,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户600手,n.a.,否,否,"1,3,5,7,9,12",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,15.00%,±12%,CNY,10.0,绝对值,0.0,10.0,100.0
干制红枣期货,CJ409,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户600手,n.a.,否,否,"1,3,5,7,9,12",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,15.00%,±12%,CNY,10.0,绝对值,0.0,10.0,100.0
干制红枣期货,CJ412,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-12-13 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户600手,n.a.,否,否,"1,3,5,7,9,12",2024-12-17,2023-12-15,2024-12-13,2024-12-18,12,2024,2024-12-18,,12,12.00%,±10%,CNY,3.0,绝对值,0.0,3.0,
干制红枣期货,CJ501,CJ,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令100手|市价指令20手,非期货公司会员和客户600手,n.a.,否,否,"1,3,5,7,9,12",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,12.00%,±10%,CNY,3.0,绝对值,0.0,3.0,
棉纱期货,CY403,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户500手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,10.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY404,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-04-16 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-04-18,2023-04-18,2024-04-16,2024-04-19,04,2024,2024-04-19,,04,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY405,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY406,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-06-17 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-06-19,2023-06-15,2024-06-17,2024-06-20,06,2024,2024-06-20,,06,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY407,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY408,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-08-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-08-16,2023-08-15,2024-08-14,2024-08-19,08,2024,2024-08-19,,08,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY409,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY410,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-10-21 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-10-23,2023-10-23,2024-10-21,2024-10-24,10,2024,2024-10-24,,10,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY411,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,,11,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY412,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-12-13 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-12-17,2023-12-15,2024-12-13,2024-12-18,12,2024,2024-12-18,,12,7.00%,±12%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY501,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,7.00%,±6%,CNY,4.0,绝对值,0.0,0.0,
棉纱期货,CY502,CY,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-02-14 15:00 北京时间,实物,月度,5.00元/吨,25.00元,5吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2025-02-18,2024-02-23,2025-02-14,2025-02-19,02,2025,2025-02-19,,02,7.00%,±12%,CNY,4.0,绝对值,0.0,0.0,
平板玻璃期货,FG403,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户5000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG404,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-04-16 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-04-18,2023-04-18,2024-04-16,2024-04-19,04,2024,2024-04-19,,04,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG405,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户60406手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG406,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-06-17 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-06-19,2023-06-15,2024-06-17,2024-06-20,06,2024,2024-06-20,,06,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG407,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG408,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-08-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-08-16,2023-08-15,2024-08-14,2024-08-19,08,2024,2024-08-19,,08,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,10000.0
平板玻璃期货,FG409,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
平板玻璃期货,FG410,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-10-21 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-10-23,2023-10-23,2024-10-21,2024-10-24,10,2024,2024-10-24,,10,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
平板玻璃期货,FG411,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,,11,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
平板玻璃期货,FG412,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-12-13 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-12-17,2023-12-15,2024-12-13,2024-12-18,12,2024,2024-12-18,,12,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
平板玻璃期货,FG501,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
平板玻璃期货,FG502,FG,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-02-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2025-02-18,2024-02-23,2025-02-14,2025-02-19,02,2025,2025-02-19,,02,12.00%,±10%,CNY,6.0,绝对值,0.0,6.0,25000.0
粳稻谷期货,JR403,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户3000手,n.a.,否,否,"1,3,5,7,9,11",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
粳稻谷期货,JR405,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
粳稻谷期货,JR407,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
粳稻谷期货,JR409,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
粳稻谷期货,JR411,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,,11,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
粳稻谷期货,JR501,JR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR403,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户3000手,n.a.,否,否,"1,3,5,7,9,11",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR405,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-05-17 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-05-21,2023-05-18,2024-05-17,2024-05-22,05,2024,2024-05-22,,05,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR407,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-07-12 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-07-16,2023-07-17,2024-07-12,2024-07-17,07,2024,2024-07-17,,07,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR409,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-09-13 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-09-19,2023-09-15,2024-09-13,2024-09-20,09,2024,2024-09-20,,09,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR411,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-11-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2024-11-18,2023-11-15,2024-11-14,2024-11-19,11,2024,2024-11-19,,11,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
晚籼稻期货,LR501,LR,期货,XZCE,电子,09:00-11:30|13:30-15:00,CN,CNY,CNY,2025-01-14 15:00 北京时间,实物,月度,1.00元/吨,20.00元,20吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户20000手,n.a.,否,否,"1,3,5,7,9,11",2025-01-16,2024-01-16,2025-01-14,2025-01-17,01,2025,2025-01-17,,01,15.00%,±14%,CNY,3.0,绝对值,0.0,3.0,
甲醇期货,MA403,MA,期货,XZCE,电子,21:00-23:00|09:00-11:30|13:30-15:00,CN,CNY,CNY,2024-03-14 15:00 北京时间,实物,月度,1.00元/吨,10.00元,10吨/手,吨,限价指令1000手|市价指令200手,非期货公司会员和客户3000手,n.a.,否,否,"1,2,3,4,5,6,7,8,9,10,11,12",2024-03-18,2023-03-15,2024-03-14,2024-03-19,03,2024,2024-03-19,,03,10.00%,±7%,CNY,1.0,比例值,0.0,1.0,25000.0
