date,symbol,variety,settle_price,spec_long_margin_ratio,hedge_long_margin_ratio,spec_short_margin_ratio,hedge_short_margin_ratio,trade_fee_ratio,close_today_fee_ratio,is_close_today
20260119,sn2604,sn,387130.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2605,sn,387260.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2606,sn,386430.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2607,sn,385800.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2608,sn,384670.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2609,sn,386570.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2610,sn,384500.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2611,sn,385040.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2612,sn,385550.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,sn2701,sn,388480.0,0.13,0.12,0.13,0.12,0.0,0.0,0
20260119,ao2602,ao,2614.0,0.1,0.1,0.1,0.1,0.1,0.05,0
20260119,ao2603,ao,2712.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2604,ao,2734.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2605,ao,2751.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2606,ao,2765.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2607,ao,2784.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2608,ao,2805.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2609,ao,2828.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2610,ao,2846.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2611,ao,2868.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2612,ao,2895.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ao2701,ao,2905.0,0.09,0.08,0.09,0.08,0.1,0.05,0
20260119,ad2602,ad,22680.0,0.1,0.1,0.1,0.1,0.05,0.025,0
20260119,ad2603,ad,22735.0,0.07,0.06,0.07,0.06,0.05,0.025,0
20260119,ad2604,ad,22740.0,0.07,0.06,0.07,0.06,0.05,0.025,0
20260119,ad2605,ad,22760.0,0.07,0.06,0.07,0.06,0.05,0.025,0
