合约代码,合约月份,挂盘基准价,上市日,最后交易日,涨停板幅度,跌停板幅度,涨停板价位,跌停板价位,持仓限额,品种,查询交易日
MO2412-C-6200,2412,156.4,2023-12-18,2024-12-20,0.1,0.1,685.8,0.2,1200,MO,2024-02-28
MO2412-C-6000,2412,209.4,2023-12-18,2024-12-20,0.1,0.1,722.2,0.2,1200,MO,2024-02-28
MO2412-C-5800,2412,275.6,2023-12-18,2024-12-20,0.1,0.1,765.4,0.2,1200,MO,2024-02-28
MO2412-C-5600,2412,357.2,2023-12-18,2024-12-20,0.1,0.1,824.4,0.2,1200,MO,2024-02-28
MO2412-C-5400,2412,455.2,2023-12-18,2024-12-20,0.1,0.1,898.8,0.2,1200,MO,2024-02-28
MO2412-C-5200,2412,570.0,2023-12-18,2024-12-20,0.1,0.1,982.2,0.2,1200,MO,2024-02-28
MO2412-C-5000,2412,586.4,2023-12-21,2024-12-20,0.1,0.1,1078.4,0.2,1200,MO,2024-02-28
MO2412-C-4900,2412,590.2,2024-01-09,2024-12-20,0.1,0.1,1111.8,33.0,1200,MO,2024-02-28
MO2412-C-4800,2412,549.2,2024-01-18,2024-12-20,0.1,0.1,1194.6,115.8,1200,MO,2024-02-28
MO2412-C-4700,2412,596.0,2024-01-22,2024-12-20,0.1,0.1,1257.0,178.2,1200,MO,2024-02-28
MO2412-C-4600,2412,459.6,2024-01-23,2024-12-20,0.1,0.1,1323.4,244.6,1200,MO,2024-02-28
MO2412-C-4500,2412,504.6,2024-01-23,2024-12-20,0.1,0.1,1393.2,314.4,1200,MO,2024-02-28
MO2412-C-4400,2412,565.8,2024-01-31,2024-12-20,0.1,0.1,1466.4,387.6,1200,MO,2024-02-28
MO2412-C-4300,2412,519.8,2024-02-01,2024-12-20,0.1,0.1,1546.0,467.2,1200,MO,2024-02-28
MO2412-C-4200,2412,553.4,2024-02-02,2024-12-20,0.1,0.1,1612.4,533.6,1200,MO,2024-02-28
MO2412-C-4100,2412,534.2,2024-02-05,2024-12-20,0.1,0.1,1694.4,615.6,1200,MO,2024-02-28
MO2412-C-4000,2412,459.2,2024-02-06,2024-12-20,0.1,0.1,1777.4,698.6,1200,MO,2024-02-28
MO2412-C-3900,2412,502.8,2024-02-06,2024-12-20,0.1,0.1,1862.8,784.0,1200,MO,2024-02-28
MO2412-C-3800,2412,549.4,2024-02-06,2024-12-20,0.1,0.1,1948.4,869.6,1200,MO,2024-02-28
MO2409-P-7000,2409,1121.6,2023-11-15,2024-09-20,0.1,0.1,2435.6,1356.8,1200,MO,2024-02-28
MO2409-P-6800,2409,918.2,2023-09-18,2024-09-20,0.1,0.1,2182.6,1103.8,1200,MO,2024-02-28
MO2409-P-6600,2409,757.2,2023-09-18,2024-09-20,0.1,0.1,2001.8,923.0,1200,MO,2024-02-28
MO2409-P-6400,2409,608.2,2023-09-18,2024-09-20,0.1,0.1,1826.0,747.2,1200,MO,2024-02-28
MO2409-P-6200,2409,473.8,2023-09-18,2024-09-20,0.1,0.1,1656.0,577.2,1200,MO,2024-02-28
MO2409-P-6000,2409,356.2,2023-09-18,2024-09-20,0.1,0.1,1493.2,414.4,1200,MO,2024-02-28
MO2409-P-5800,2409,256.8,2023-09-18,2024-09-20,0.1,0.1,1338.0,259.2,1200,MO,2024-02-28
MO2409-P-5600,2409,176.4,2023-09-18,2024-09-20,0.1,0.1,1198.0,119.2,1200,MO,2024-02-28
MO2409-P-5400,2409,114.6,2023-09-18,2024-09-20,0.1,0.1,1067.6,0.2,1200,MO,2024-02-28
MO2409-P-5200,2409,126.6,2023-09-21,2024-09-20,0.1,0.1,956.0,0.2,1200,MO,2024-02-28
MO2409-P-5000,2409,95.2,2023-10-23,2024-09-20,0.1,0.1,862.6,0.2,1200,MO,2024-02-28
MO2409-P-4900,2409,129.6,2024-01-09,2024-09-20,0.1,0.1,814.0,0.2,1200,MO,2024-02-28
MO2409-P-4800,2409,200.2,2024-01-18,2024-09-20,0.1,0.1,781.2,0.2,1200,MO,2024-02-28
MO2409-P-4700,2409,205.6,2024-01-22,2024-09-20,0.1,0.1,742.6,0.2,1200,MO,2024-02-28
MO2409-P-4600,2409,419.0,2024-01-23,2024-09-20,0.1,0.1,713.2,0.2,1200,MO,2024-02-28
MO2409-P-4500,2409,375.0,2024-01-23,2024-09-20,0.1,0.1,684.6,0.2,1200,MO,2024-02-28
MO2409-P-4400,2409,279.4,2024-01-31,2024-09-20,0.1,0.1,663.4,0.2,1200,MO,2024-02-28
MO2409-P-4300,2409,293.0,2024-02-01,2024-09-20,0.1,0.1,643.0,0.2,1200,MO,2024-02-28
MO2409-P-4200,2409,262.2,2024-02-02,2024-09-20,0.1,0.1,625.2,0.2,1200,MO,2024-02-28
MO2409-P-4100,2409,292.8,2024-02-05,2024-09-20,0.1,0.1,610.4,0.2,1200,MO,2024-02-28
MO2409-P-4000,2409,472.8,2024-02-06,2024-09-20,0.1,0.1,597.4,0.2,1200,MO,2024-02-28
MO2409-P-3900,2409,423.0,2024-02-06,2024-09-20,0.1,0.1,586.8,0.2,1200,MO,2024-02-28
MO2409-P-3800,2409,376.8,2024-02-06,2024-09-20,0.1,0.1,577.6,0.2,1200,MO,2024-02-28
MO2409-C-7000,2409,68.6,2023-11-15,2024-09-20,0.1,0.1,591.2,0.2,1200,MO,2024-02-28
MO2409-C-6800,2409,78.6,2023-09-18,2024-09-20,0.1,0.1,604.2,0.2,1200,MO,2024-02-28
MO2409-C-6600,2409,113.6,2023-09-18,2024-09-20,0.1,0.1,621.6,0.2,1200,MO,2024-02-28
MO2409-C-6400,2409,160.6,2023-09-18,2024-09-20,0.1,0.1,645.2,0.2,1200,MO,2024-02-28
MO2409-C-6200,2409,222.2,2023-09-18,2024-09-20,0.1,0.1,669.2,0.2,1200,MO,2024-02-28
MO2409-C-6000,2409,300.4,2023-09-18,2024-09-20,0.1,0.1,707.2,0.2,1200,MO,2024-02-28
MO2409-C-5800,2409,397.0,2023-09-18,2024-09-20,0.1,0.1,748.0,0.2,1200,MO,2024-02-28
MO2409-C-5600,2409,512.6,2023-09-18,2024-09-20,0.1,0.1,799.4,0.2,1200,MO,2024-02-28
MO2409-C-5400,2409,646.8,2023-09-18,2024-09-20,0.1,0.1,875.4,0.2,1200,MO,2024-02-28
MO2409-C-5200,2409,839.8,2023-09-21,2024-09-20,0.1,0.1,953.6,0.2,1200,MO,2024-02-28
MO2409-C-5000,2409,723.0,2023-10-23,2024-09-20,0.1,0.1,1056.6,0.2,1200,MO,2024-02-28
MO2409-C-4900,2409,562.4,2024-01-09,2024-09-20,0.1,0.1,1112.0,33.2,1200,MO,2024-02-28
MO2409-C-4800,2409,532.6,2024-01-18,2024-09-20,0.1,0.1,1173.0,94.2,1200,MO,2024-02-28
MO2409-C-4700,2409,582.0,2024-01-22,2024-09-20,0.1,0.1,1237.4,158.6,1200,MO,2024-02-28
MO2409-C-4600,2409,461.4,2024-01-23,2024-09-20,0.1,0.1,1305.6,226.8,1200,MO,2024-02-28
MO2409-C-4500,2409,516.0,2024-01-23,2024-09-20,0.1,0.1,1377.4,298.6,1200,MO,2024-02-28
MO2409-C-4400,2409,551.6,2024-01-31,2024-09-20,0.1,0.1,1454.2,375.4,1200,MO,2024-02-28
MO2409-C-4300,2409,472.6,2024-02-01,2024-09-20,0.1,0.1,1533.0,454.2,1200,MO,2024-02-28
MO2409-C-4200,2409,513.8,2024-02-02,2024-09-20,0.1,0.1,1614.4,535.6,1200,MO,2024-02-28
MO2409-C-4100,2409,476.2,2024-02-05,2024-09-20,0.1,0.1,1698.0,619.2,1200,MO,2024-02-28
MO2409-C-4000,2409,450.8,2024-02-06,2024-09-20,0.1,0.1,1784.2,705.4,1200,MO,2024-02-28
MO2409-C-3900,2409,499.8,2024-02-06,2024-09-20,0.1,0.1,1871.6,792.8,1200,MO,2024-02-28
MO2409-C-3800,2409,552.4,2024-02-06,2024-09-20,0.1,0.1,1961.4,882.6,1200,MO,2024-02-28
